,suggestions,ud,word
18,"['Network', 'Networks', 'Nevar', 'New', 'Ewa', 'Negar', 'Neva', 'Anelar']",False,Newark
19,"['Grasce', 'Grave', 'Granché', 'Racer', 'Rance', 'Rasce', 'Riace', 'Agace']",False,Grace
20,"['escort', 'esorta', 'esorti', 'esorto', 'resoti', 'tresor', 'reso', 'riesporta']",False,resort
21,"['Adirebbe', 'Agirebbe', 'Alirebbe', 'Air', 'arebbe', 'Azierebbe', 'Paierebbe', 'Paierebbe']",False,Airbnb
22,"['Eccome', 'Eccombe', 'Eccone', 'Econde', 'Felucone', 'Telecom', 'Eccomela', 'Eccomele']",False,Welcome
23,"['Matta', 'Matte', 'Matti', 'Matto', 'Matteo', 'Matita', 'Matite', 'Mattai']",False,Matt
24,"['Gateway', 'Giracela', 'Grasce', 'Aracea', 'Granceola', 'Giacea', 'Girarcela', 'Gorgacela']",False,Graceway
25,"['tropicale', 'tropicali', 'tropica', 'topica', 'troica', 'tropia', 'tropico', 'troppiala']",False,tropical
26,"['suddividerli', 'suddividero', 'uddividerlo', 'uddividerla', 'uddividerle', 'uddividerli', 'suddivisero', 'suddivideremo']",False,suddividerlo
27,"['HEM', 'HMM', 'OHM', 'UHM', 'H', 'HOME', 'HOMO']",False,HM
28,"['Trippandovisi', 'Tipandovisi', 'Triandovisi', 'Riavviso', 'Trippavi', 'Tripudio', 'Riavvisar', 'Tarpandovisi']",False,TripAdvisor
29,"['vigilero', 'vigiler', 'vigilerà', 'vigile', 'vigilerai', 'vigilerei', 'vigilar', 'vigilarlo']",False,vigilerò
30,"['eghe', 'Seneghe', 'achee', 'deleghe', 'egee', 'beche', 'bechiche', 'beghe']",False,eheheh
31,"['Duilio', 'idillio', 'dilli', 'dillo', 'Duilia', 'idillico', 'Edilio', 'duelli']",False,duillio
32,"['Suk', 'Soul', 'Seoul', 'Ok', 'Sulky', 'Su', 'So', 'Sous']",False,Souk
33,"['gemmammo', 'ehm', 'hmm', 'cemammo', 'gememmo', 'gemmami', 'lehm', 'ommammo']",False,ehmmmmmmmmmmm
34,"['Jeans', 'Era', 'Eraso', 'Era', 'Eros', 'Verbaschi', 'Egra', 'Erasmo']",False,Jerash
35,"['Valeva', 'Valmacca', 'Vallea', 'Alea', 'Alef', 'Alfa', 'Artefacci', 'Vale']",False,Valefacc
36,"['gabbi', 'gabri', 'gambi', 'garbi', 'gai', 'Gai', 'Gobi', 'Sgarbi']",False,gabi
37,"['right', 'tight', 'nightclub', 'nightglow', 'flight', 'tights', 'Nightingale', 'high']",False,night
38,"['ADDÌ', 'ADI', 'Addi', 'AUDI', 'ADII', 'ADIR', 'ADRI', 'ADRI']",False,WADI
39,"['adi', 'Adi', 'adii', 'adir', 'adri', 'aedi', 'aldi', 'ardi']",False,wadi
40,"['Preporti', 'Reporter', 'Export', 'Prepor', 'Reparti', 'Reparto', 'Reperti', 'Reperto']",False,Report
41,"['Palau', 'Plu', 'Pali', 'Paluda', 'Palude', 'Paludi', 'Paludo', 'Paul']",False,Palu
42,"['Arong', 'Armungia', 'Aringa', 'Aringo', 'Arengo', 'Aringhe', 'Aringhi', 'Carugo']",False,Warung
43,"['Walkie', 'Alai', 'Amai', 'Maki', 'Alaci', 'Alali', 'Alami', 'Alani']",False,Wakai
44,"['jolly', 'nell', 'elle', 'dell', 'Dell', 'bell', 'el', 'ella']",False,jelly
45,"['Anctu', 'Sanctus', 'Sancta', 'Sanciti', 'Essantun', 'Shantung', 'Tantum', 'Sant']",False,Sanctum
46,"['Adibirai', 'Adibirci', 'Adibirei', 'Adibirli', 'Adibirmi', 'Adibirsi', 'Adibirti', 'Adibirvi']",False,Kadidiri
47,"['Malassar', 'Malassare', 'Alassar', 'Malassa', 'Malassarci', 'Malassarla', 'Malassarle', 'Malassarli']",False,Makassar
48,"['Toga', 'Tegea', 'Tolgano', 'Tongana', 'Tongane', 'Tongani', 'Tongano', 'Tonga']",False,Togean
49,"['Alitala', 'Alitali', 'Alitagli', 'Alitarla', 'Alitarli', 'Alitai', 'Altala', 'Altali']",False,Alitalia
50,"['colossale', 'colossali', 'kolossal', 'colosso', 'collosa', 'colossi', 'colposa', 'cogliosa']",False,colossal
51,"['noverato', 'niffarono', 'niffatone', 'novero', 'niffartene', 'nifferete', 'noderosa', 'controfferta']",False,un'offertona
52,"['Dicenso', 'Dice', 'Dicesse', 'Dicessi', 'Diceste', 'Dicesti', 'Diocesi', 'Discesa']",False,Dickens
53,"['logan-air port', 'organaro', 'organario', 'organar', 'Laganadi', 'alogenai', 'alogenar', 'alogenarlo']",False,logan-airport
54,"['crivetemi', 'iscrivetemi', 'scrive temi', 'scrivete', 'scriverei', 'ascrivete', 'ascriveteci']",False,scrivetemi
55,"['Torgiano', 'Togliano', 'Toglia', 'Toga', 'Toirano', 'Ogliano', 'Poggian', 'Togliamo']",False,Togian
56,"['jolly', 'mellifichi', 'ellai', 'gelifichi', 'ellavi', 'mellifichino', 'mellificherai', 'mellificherei']",False,jellyfish
57,"['Esulantesi', 'Esularlesi', 'Esultatesi', 'Sublacensi', 'Esulassi', 'Esularsi', 'Squaws', 'Uolatesi']",False,Sulawesi
58,"['Tomolo', 'Tomono', 'Tomo', 'Omobono', 'Omofona', 'Omofone', 'Omofoni', 'Omofono']",False,Tomohon
59,"['Mando', 'Mandò', 'Mainardo', 'Emanando', 'Magnando', 'Mancando', 'Maniando', 'Marnando']",False,Manado
60,"['MITE', 'MITI', 'MITO', 'NIT', 'MI', 'IT', 'LÌ', 'SÌ']",False,MIT
61,"['Fahrenheit', 'Arenghi', 'Farcene', 'Farmene', 'Farsene', 'Fartene', 'Farvene', 'Fremei']",False,Farenheit
62,"['comodissimo', 'scomodassimo', 'comodissima', 'comodissime', 'comodissimi', 'comodassimo', 'condissimo', 'scandissimo']",False,scomodissimo
63,"['Harley', 'Hare', 'Heavy', 'Share', 'Shave', 'Larve', 'Agrave', 'Are']",False,Harvey
64,"['Iliade', 'Sbiadendo', 'Pilade', 'Ilde', 'Sila', 'Silane', 'Esiliacene', 'Esiliatene']",False,Siladen
65,"['estero', 'esister', 'esisterlo', 'resterò', 'destero', 'esistera', 'esistere', 'esiterai']",False,esiterò
66,"['Kakatua', 'Kafka', 'Alabama', 'kafkiana', 'Anabante', 'Anabanti', 'Arabanda', 'Arabanda']",False,Kakaban
67,"['PÒ', 'CÒLTO', 'OTI', 'OTO', 'LOT', 'NOT', 'POT', 'FOT']",False,OT
68,"['programmiamo', 'programmano', 'programmino', 'programmando', 'programmane', 'programmiamoci', 'programmiamola', 'programmiamole']",False,programmiano
69,"['Branai', 'Branar', 'Franai', 'Franar', 'Granai', 'Granar', 'Granir', 'Tranir']",False,Ryanair
70,"['Pensees', 'Eneide', 'Pensee', 'Pendosi', 'Pantedesca', 'Pantedesco', 'Pegnendosi', 'Pentendosi']",False,Penedes
71,"['spiffera', 'spifferi', 'spiffero', 'differi', 'piffera', 'pifferi', 'piffero', 'spifferano']",False,swiffer
72,"['NEH', 'N', 'H', 'ANCHE', 'ENHAL', 'MAH', 'MHO', 'NEHRU']",False,NH
73,"['Ovidia', 'moia', 'movi', 'moviamo', 'ovoidea', 'moviola', 'muovila', 'govinda']",False,movida
74,"['curaro', 'curero', 'Chiuro', 'curo', 'curarlo', 'curarsi', 'curirlo', 'curirsi']",False,churros
75,"['tenteremo', 'venteremo', 'ente remo', 'denoteremo', 'denteremmo', 'entiremo', 'tenteremmo']",False,enteremo
76,"['nabis', 'snobs', 'Ins', 'bas', 'bes', 'bis', 'bus', 'ins']",False,nbsp
77,"['sommita', 'sommista', 'sommit', 'ommista', 'sommi', 'somia', 'sommiate', 'sommisti']",False,sommità
78,"['magrisco', 'marcisco', 'marrisco', 'marasco', 'smagrisco', 'smarrisco', 'Maresco', 'ardisco']",False,marisco
79,"['poiché', 'poriche', 'poche', 'piche', 'apnoiche', 'psoriche', 'sporiche', 'polche']",False,poichè
80,"['topica', 'topici', 'topico', 'topi', 'topiche', 'tropica', 'tropici', 'tropico']",False,topic
81,"['capicollati', 'capicollanti', 'capicollarti', 'capicollasti', 'scapicollati', 'capicollai', 'capicollatici', 'capicollatila']",False,copincollati
82,"['alinato', 'limato', 'lunato', 'alginato', 'alienato', 'linciato', 'blindato', 'inasto']",False,linkato
83,"['solide', 'sidero', 'sulkies', 'iside', 'laide', 'linde', 'salde', 'saldero']",False,slideshow
84,"['vertera', 'vertebra', 'verter', 'verterai', 'verterla', 'vertere', 'veritiera', 'avertere']",False,verterà
85,"['Image', 'Magasa', 'Impavesaci', 'Magnesiaci', 'Impavesa', 'Magnesia', 'Magnesiaca', 'Magnesiache']",False,ImageShack
86,"['URLA', 'URLI', 'URLO', 'URALI', 'BURLA', 'BURLE', 'BURLI', 'BURLO']",False,URL
87,"['deviami', 'epidemia', 'debitami', 'decidiamola', 'decidimi', 'dedicami', 'deridiamola', 'deridimi']",False,deidamia
88,"['ECU', 'ENE', 'ENI', 'ERM', 'Edi', 'Edo', 'Eli', 'Eme']",False,é
89,"['coop', 'loop', 'clono', 'cloro', 'scoop', 'sloop', 'clip', 'colopi']",False,cloop
90,"['vacanza', 'vacane', 'vacano', 'arcana', 'vacarne', 'varcane', 'varcano', 'vociana']",False,vacana
91,"['idro geografiche', 'fitogeografiche', 'idromorfiche', 'organografiche', 'archeografiche', 'fitogeografica', 'fitogeografici', 'fitogeografico']",False,idrogeografiche
92,"['cassette', 'casetta', 'cosette', 'cadette', 'cassetta', 'cassetto', 'aette', 'basette']",False,casette
93,"['nonché', 'monche', 'monache', 'nocche', 'noch', 'neanche', 'infoniche', 'intoniche']",False,nonchè
94,"['Martedì', 'Magredi', 'Marte', 'Narteci', 'Arredi', 'Attedi', 'Martelli', 'Maravedi']",False,Martedi
95,"['Amsterdam', 'Amsterdamiani', 'Almistrarmici', 'Astrarmici', 'Almistriamoci', 'Castrarmici', 'Estrudiamoci', 'Mostrarmici']",False,Amsterdam-Schiphol
96,"['Lara', 'Lasa', 'Flag', 'Lago', 'Lama', 'Lana', 'Lata', 'Lava']",False,Laag
97,"['Scherme', 'Schermera', 'Schierer', 'Cherme', 'Schermare', 'Chermar', 'Scherzer', 'Chermerai']",False,Schermer
98,"['Ripi', 'Grip', 'Ripa', 'Ripe', 'Trip', 'Cript', 'Ripag', 'Ripar']",False,Rijp
99,"['Mercoledì', 'Merco ledi', 'Ercole', 'Erculei', 'Ericole', 'Merceologi', 'Merciale', 'Meraldi']",False,Mercoledi
100,"['New', 'Nicene', 'Mietute', 'Nerume', 'Nike', 'Nive', 'Enfiteute', 'Niue']",False,Nieuwe
101,"['centrale', 'centrali', 'centrata', 'acentrata', 'entratala', 'entratale', 'entratali', 'entratalo']",False,centraal
102,"['Markka', 'Macumba', 'Mark', 'Markup', 'Mask', 'Malumore', 'Malumori', 'Alume']",False,Makkum
103,"['Giovedì', 'Gioved', 'Giove', 'Giovai', 'Gioverai', 'Gioverei', 'Gioendo', 'Giovaci']",False,Giovedi
104,"['Ghiandoloso', 'Ghindalo', 'Indolitotene', 'Bindello', 'Ghiandolose', 'Ghindarlo', 'Indettocene', 'Indolitocene']",False,Hindeloopen
105,"['Sfavore', 'Stravere', 'Sfavorendo', 'Statore', 'Stavo', 'Savere', 'Ostavo', 'Savoir']",False,Stavoren
106,"['Egee', 'Pelele', 'Peleologhe', 'Peleologie', 'Teleologie', 'Egale', 'Egaligna', 'Egaligni']",False,Welgelegen
107,"['Gipeto', 'Bietolona', 'Bietolone', 'Bietoloni', 'Agitolo', 'Gioitolo', 'Gito', 'Goethiano']",False,Giethoorn
108,"['Esecrerebbe', 'Ederebbe', 'Preverrebbe', 'Areerebbe', 'Preferirebbe', 'Aderirebbe', 'Aleserebbe', 'Anelerebbe']",False,Weerribben-Wieden
109,"['Grandate', 'Granduca', 'Granducale', 'Grancasse', 'Randage', 'Granada', 'Granducato', 'Gradare']",False,Grandcafe
110,"['Team', 'Steamer', 'Teams', 'Satem', 'Stame', 'Stami', 'Stamp', 'Steca']",False,Steam
111,"['Scolando', 'Scotland', 'Schola', 'Scollando', 'Scolpando', 'Shockando', 'Colando', 'Ascoltando']",False,Schokland
112,"['Uruk', 'Turku', 'Turkle', 'Eureka', 'Tugrik', 'Pur', 'Lur', 'Mur']",False,Urk
113,"['Usum', 'Muse', 'Musei', 'Mouse', 'Munse', 'Museo', 'Musme', 'Use']",False,Museum
114,"['Horn', 'Orn', 'Horine', 'Odor', 'Odorane', 'Odorano', 'Odorini', 'Odorino']",False,Hoorn
115,"['Anse', 'Zane', 'Alane', 'Amane', 'Ansie', 'Arane', 'Avane', 'Oziatane']",False,Zaanse
116,"['check', 'cechi', 'cerchino', 'cerchiane', 'cerchiano', 'cerchione', 'cerchioni', 'cecchini']",False,ceck-in
117,"['Schermera', 'Scherme', 'Schierer', 'Schermare', 'Cherme', 'Scherzer', 'Scherma', 'Schermira']",False,Shermer
118,"['Affluiti', 'Fluidi', 'Fluiti', 'Affluirti', 'Affluisti', 'Fluirti', 'Fluisti', 'Affluitaci']",False,Afsluitdijk
119,"['Dissalamele', 'Dissalamene', 'Issamele', 'Issamene', 'Dissetamele', 'Dissetamene', 'Isoscele', 'Bissamele']",False,IJsselmeer
120,"['Grandinigeni', 'Grandinigeno', 'Girondine', 'Rondine', 'Grandine', 'Granirne', 'Gonne', 'Bronzine']",False,Groningen
121,"['audio guida', 'radioguida', 'autoguida', 'radioguidai', 'radioguidar', 'radioguide', 'radioguido', 'radioguidaci']",False,audioguida
122,"['iringheresti', 'ridirigercisi', 'ridirigermisi', 'ridirigertisi', 'ridirigervisi', 'ridirigeresti', 'dirigercisi', 'dirigermisi']",False,idroingneristiche
123,"['frizzanti', 'trizzatina', 'frizzati', 'rizzanti', 'rizzatine', 'drizzanti', 'frizzante', 'frizzantisi']",False,frizzantina
124,"['Mike', 'Nike', 'Piea', 'Bike', 'Ieda', 'Iena', 'Lì', 'Sì']",False,Ikea
125,"['raggiungero', 'aggiungerò', 'raggiunger', 'raggiungerlo', 'aggiungero', 'raggiungere', 'raggiungerà', 'raggiungerono']",False,raggiungerò
126,"['Norvegia', 'Nereggiane', 'Nereggiano', 'Orvegliane', 'Orvegliano', 'Mortegliano', 'Nereggia', 'Ormeggiane']",False,Norwegian
127,"['senno', 'spenno', 'enno', 'senna', 'senne', 'senni', 'seno', 'sanno']",False,sennò
128,"['Slavista', 'Slavata', 'Esausta', 'Salvaste', 'Salvata', 'Scavata', 'Kasak', 'Lavista']",False,Skavsta
129,"['Sanse', 'Sansone', 'Sansoni', 'Hansen', 'Sanzeno', 'Sanasse', 'Sanaste', 'Sane']",False,Skansen
130,"['alone', 'clone', 'leone', 'lione', 'lonze', 'lome', 'Alonte', 'almone']",False,lonely
131,"['STOCCOLMA', 'TOCCÒ', 'STACCÒ', 'STOCK', 'STOCCO', 'STOICHE', 'STOICHKOV', 'ISTOCHIMICA']",False,STOCKHOLM
132,"['travalcar', 'travalcare', 'travalicar', 'travalca', 'travalcarci', 'travalcarsi', 'travalcarti', 'trarvela']",False,travelcard
133,"['pressura', 'presseranno', 'pressarne', 'pressoria', 'pressarla', 'pressarono', 'press', 'pressar']",False,pressbyrån
134,"['SALÒ', 'SALÒ']",False,SL
135,"['Appaltasi', 'Appisolasi', 'Oppalcasi', 'Appaltassi', 'Appaltasti', 'Oppalcassi', 'Oppalcasti', 'Appaltatitene']",False,Uppsala-Sigtuna
136,"['Situa', 'Esigua', 'Situai', 'Situino', 'Sig.na', 'Itua', 'Situ', 'Situare']",False,Sigtuna
137,"['ho', 'op', 'chope', 'hip', 'Cheope', 'Chopin', 'Rho', 'aho']",False,hop
138,"['Nottingham', 'Riottengo', 'Ritingo', 'Dirottandomi', 'Dirotti', 'Dirottino', 'Dirottai', 'Rettangola']",False,Drottingholm
139,"['spostarvi', 'sostavi', 'costarvi', 'scostavi', 'spostavi', 'postarvi', 'tostarvi', 'sestari']",False,sostarvi
140,"['depliants', 'depliant', 'depilantesi', 'delibantesi', 'delirantesi', 'depilante', 'delibante', 'delirante']",False,depliantes
141,"['Stroma', 'Strona', 'Sgromma', 'Stoma', 'Stromba', 'Troma', 'Astronoma', 'Strema']",False,Stromma
142,"['Grida', 'Gronda', 'Agrina', 'Brinda', 'Gridai', 'Gridan', 'Gridar', 'Grinta']",False,Grinda
143,"['DIFFICOLTÀ', 'DIFFICOLTOSA', 'DIFFICOLTOSE', 'DIFFICOLTOSI', 'DIFFICOLTOSO', 'DEIFICALA', 'DEIFICATA', 'DIFFIDALA']",False,DIFFICOLTA
144,"['Abbie', 'Abba', 'Fabbre', 'Abba', 'Babbea', 'Babbee', 'Babbei', 'Babbeo']",False,Vabbè
145,"['rida', 'Frida', 'arida', 'brida', 'grida', 'ridai', 'ridar', 'ridda']",False,ridà
146,"['elfi', 'elfo', 'Seul', 'solfa', 'solfe', 'solfi', 'solfo', 'selva']",False,self
147,"['Ciatteria', 'Dottrinale', 'Vittoriale', 'Cimiteriale', 'Dottrinalmente', 'Littoriale', 'Sciatteria', 'Crittemi']",False,Cityterminalen
148,"['Centrale', 'Entrale', 'Contrale', 'Centralini', 'Centralino', 'Centrali', 'Centrate', 'Entrarle']",False,Centralen
149,"['Marciatore', 'Marginatore', 'Mariterete', 'Aratore', 'Marcatore', 'Variatore', 'Marinature', 'Aeratore']",False,Mariatorget
150,"['Monoteista', 'Montelli', 'Monotelismo', 'Imboniteli', 'Mantellava', 'Mantellavate', 'Montali', 'Monteiasi']",False,Monteliusvagen
151,"['Esoderma', 'Sfodera', 'Snodera', 'Sondera', 'Spodera', 'Sfoderammo', 'Sfoderai', 'Snoderai']",False,Sodermalm
152,"['Ridargliene', 'Ridatole', 'Gridargliene', 'Gridatole', 'Ridatogliene', 'Ridarcele', 'Ridarmele', 'Ridarsele']",False,Riddarholen
153,"['Gala', 'Gama', 'Egamela', 'Gamella', 'Gramola', 'Gamia', 'Egala', 'Galea']",False,Gamla
154,"['Mike', 'Nike', 'Piea', 'bike', 'ieda', 'iena', 'ikebana', 'Silea']",False,ikea
155,"['Durare', 'Durarcene', 'Durarsene', 'Durartene', 'Durarmene', 'Durarvene', 'Durarle', 'Purgarcene']",False,Djurgarden
156,"['Vah', 'Aho', 'Vagolami', 'Vah', 'Vagolammo', 'Auxo', 'Ahimé', 'Vagolamela']",False,Vaxholm
157,"['siede remo', 'iederemo', 'sederemo', 'iederemmo', 'sederemmo', 'chiederemo', 'ideeremo', 'sbenderemo']",False,siederemo
158,"['Leggero', 'Legger', 'Leggerlo', 'Leggiero', 'Leggera', 'Leggere', 'Leggeri', 'Leggerà']",False,Leggerò
159,"['Duracene', 'Duratene', 'Durandone', 'Duramene', 'Durando', 'Durate', 'Durale', 'Duramente']",False,Djurgaden
160,"['mezz oretta', 'mezzo retta', 'mezzore', 'memorietta', 'mezzerete', 'menzognetta', 'mezzare', 'mezzora']",False,mezzoretta
161,"['terrazzino', 'terrazzana', 'terrazzini', 'terrazzi', 'terrazziamo', 'terrazziate', 'Terracina', 'terrazzai']",False,terrazzina
162,"['lila', 'li', 'lì', 'alila', 'alile', 'alili', 'alilo', 'gliel']",False,lil
163,"['Tandage', 'Estradatene', 'Istradatene', 'Stradate', 'Strada', 'Estradacene', 'Estradamene', 'Istradacene']",False,Strandvagen
164,"['Osteoma', 'Postema', 'Ostena', 'Istema', 'Istemala', 'Istemale', 'Istemali', 'Istemalo']",False,Ostemalms
165,"['Savignone', 'Savigno', 'avignone', 'Savino', 'Savagnone', 'avvigno', 'sbavino', 'scavino']",False,sauvignon
166,"['Ridatomene', 'Gridatomene', 'Ridatole', 'Brindatomene', 'Gridatole', 'Ridargliene', 'Freddatomene', 'Riandatomene']",False,Riddarholmen
167,"['agama', 'agamia', 'Sagama', 'agomami', 'vagammo', 'agomiamo', 'afgana', 'agame']",False,wagamama
168,"['Antidoping', 'Entropion', 'Intoppi', 'Intoppino', 'Antilopi', 'Anticorpi', 'Ingoi', 'Ingoino']",False,Nykoping
169,"['Vertemate', 'Vertevate', 'Eternatatene', 'Eternatitene', 'Eternatotene', 'Ventolatatene', 'Ventolatitene', 'Ventolatotene']",False,Vete-Katten
170,"['Anelale', 'Anabile', 'Angelu', 'Anelarle', 'Antennule', 'Congelabile', 'Indelebile', 'Amabile']",False,Kanelbulle
171,"['Connetta', 'Connette', 'Connetti', 'Connetto', 'Connecticut', 'Conone', 'Cannete', 'Canneti']",False,Connect
172,"['rilassarsi', 'riassestarsi', 'rilassassi', 'rilassarci', 'ribassarsi', 'rilassar', 'rilassarli', 'rilassarmi']",False,rilasssarsi
173,"['taco', 'talcosi', 'itaco', 'tacco', 'talco', 'tanco', 'tacesi', 'tracosse']",False,tacos
174,"['Nerverai', 'Nervea', 'Motivera', 'Erverai', 'Inerivi', 'Meriglierai', 'Nerveranno', 'Erbivora']",False,NeoRiviera
175,"['Mauritiu', 'Auriti', 'Mariti', 'Marritisi', 'Pauritisi', 'Marciti', 'Maritai', 'Marriti']",False,Mauritius
176,"['http', 'totip', 'chetatosi', 'tops', 'totipista', 'totipiste', 'totipisti', 'trips']",False,https
177,"['trippandovisi', 'tipandovisi', 'triandovisi', 'riavviso', 'trippavi', 'tripudio', 'riavvisar', 'triadico']",False,tripadvisor
178,"['Rimapparceli', 'Romanticheggia', 'Promanarceli', 'Rimappaceli', 'Romanticheggiano', 'Romanticheggiato', 'Cromataceli', 'Grommataceli']",False,Roma-parcheggio-prevoloEmozionata
179,"['Arringarmici', 'Arringatimici', 'Parigliarmici', 'Arringatamici', 'Arringatemici', 'Arringatomici', 'Tringarmici', 'Tringermici']",False,Parking-fumicino
180,"['croceristi', 'croceresti', 'crocerista', 'croceriste', 'crociarcisi', 'crociarmisi', 'crociartisi', 'crociarvisi']",False,crocieristi
181,"['crivetele', 'iscrivetele', 'scrive tele', 'ascrivertele', 'iscrivertele', 'ascrivetela', 'ascrivetelo']",False,scrivetele
182,"['depor', 'empre', 'epara', 'epari', 'eparo', 'eprom', 'epura', 'epuri']",False,epr
183,"['Rimodulai', 'Rimediai', 'Roma', 'Rimodulaci', 'Rimodulali', 'Rimodulami', 'Rimodulasi', 'Rimodulati']",False,Roma-Dubai
184,"['MC', 'Mosca', 'MOSCA', 'MASCA', 'MASCE', 'MESCA', 'MESCE', 'MESCE']",False,MSC
185,"['Dubitatitisi', 'Ublimatitisi', 'Dubitarmici', 'Dubitartici', 'Dubitartisi', 'Dubitarvici', 'Dubitatiti', 'Ublimarmici']",False,Dubai-Mauritius
186,"['MERCOLEDÌ', 'MERCO LEDI', 'ERCOLE', 'ERICOLE', 'METRÒ', 'ERCULEI', 'MERCIALE', 'MERALDI']",False,MERCOLEDI
187,"['Freak', 'Frani', 'Fra', 'Franklin', 'Frano', 'Fra', 'Fan', 'Frana']",False,Frank
188,"['seguiro', 'seguir', 'seguirlo', 'seguire', 'seguirà', 'seguito', 'seguirono', 'eguirlo']",False,seguirò
189,"['GIOVEDÌ', 'GIOVED', 'GIOVE', 'GIOVAI', 'GIOVERAI', 'GIOVEREI', 'GIOSUÉ', 'GIOENDO']",False,GIOVEDI
190,"['Feltri nelli', 'Feltrameli', 'Falcinelli', 'Feltrino', 'Veltimeli', 'Vetrinali', 'Caltrimeli', 'Feltraceli']",False,Feltrinelli
191,"[""L'Al italia"", 'Latitala', 'Latitali', 'Latitagli', 'Latitarla', 'Latitarli', 'Tallitala', 'Tallitali']",False,L'Alitalia
192,"['Anagrammatala', 'Ammazzatatela', 'Anzionatala', 'Amalgamatala', 'Ammazzavate', 'Anagrammata', 'Annacquatala', 'Anzianato']",False,Kanazawa-Takayama
193,"['Sperda', 'Sperdi', 'Sperdiamo', 'Sperdiate', 'Operina', 'Spedira', 'Spedita', 'Spediva']",False,Hyperdia
194,"['Boeing', 'Book', 'Bowling', 'Smoking', 'Ebook', 'Footing', 'Looping', 'Spooling']",False,Booking
195,"['Ampan', 'Apano', 'Apa', 'Alpane', 'Alpano', 'Aprano', 'Apuana', 'Apuane']",False,Japan
196,"['ilfi', 'cifi', 'ii', 'ilfio', 'infin', 'tifi', 'scifi', 'infine']",False,wifi
197,"['SÌ', 'SIN', 'DÌ', 'SIAM', 'SIMA', 'SIMO', 'SIN', 'STIM']",False,SIM
198,"['Europea', 'Europei', 'Europeo', 'Europee', 'Europa', 'Merope', 'Erompe', 'Erompe']",False,Europe
199,"['prenot abili', 'prenota bili', 'prenotatili', 'prenotatigli', 'denotabili', 'penetrabili', 'premiabili', 'prenotai']",False,prenotabili
200,"['organizzazione', 'organizza azione', 'organizzazioni', 'organizzatine', 'moralizzazione', 'organizzatagliene', 'organizzatasene', 'pirantizzazione']",False,organizzaazione
201,"['caloppa', 'caloppe', 'coppa', 'coppe', 'coppi', 'coppo', 'loppa', 'loppe']",False,clopp
202,"['Amato', 'Anato', 'Armato', 'Gamato', 'Camato', 'Damato', 'Famato', 'Lamato']",False,Yamato
203,"['Chinane', 'Chinamene', 'Chinarne', 'Chinarsene', 'Chinasse', 'Chinaste', 'Ghignane', 'Schiantasse']",False,Shinkansen
204,"['Giugnolo', 'Gigolos', 'Giugolo', 'Giugnola', 'Giugnole', 'Giugnoli', 'Giugno', 'Gigolò']",False,GIUGNOLos
205,"['Basto', 'Arsito', 'Aristo', 'Barsete', 'Barato', 'Basato', 'Basito', 'Blasto']",False,Barstow
